LINKNO,subw_4,subw_5,subw_6,subw_7,subw_8
38026,1341,701,554,520,514
38031,1374,701,554,520,514
38032,1341,701,554,520,514
38033,673,546,523,156,156
38035,673,546,523,156,156
38039,1377,707,546,522,514
38050,87,87,87,87,87
38063,921,597,149,149,149
38116,791,542,136,136,136
38124,642,542,136,136,136
38126,830,519,106,106,106
38128,1359,675,551,153,153
38129,1313,675,551,153,153
38130,1194,646,540,516,515
38134,38,38,38,38,38
38135,715,522,118,118,118
38138,1223,673,551,153,153
38139,1223,673,551,153,153
38140,699,549,97,97,97
38143,1167,657,153,153,153
38144,260,260,260,260,260
38145,575,107,107,107,107
38146,805,532,519,134,134
38148,103,103,103,103,103
38149,1174,659,532,517,515
38151,601,97,97,97,97
38152,1052,622,530,516,515
38153,555,103,103,103,103
38154,846,584,519,134,134
38155,860,587,530,516,515
38161,1016,153,153,153,153
38162,882,586,529,516,515
38163,1025,616,534,515,515
38165,1241,676,536,518,515
38167,57,57,57,57,57
38168,862,589,522,153,153
38170,922,543,153,153,153
38171,91,91,91,91,91
38172,646,543,153,153,153
38173,1045,627,536,518,515
38175,702,556,527,515,515
38176,1110,627,536,518,515
38177,558,134,134,134,134
38178,842,543,153,153,153
38179,736,557,527,515,515
38181,733,563,516,155,155
38182,1121,636,531,139,139
38184,755,557,527,515,515
38185,1038,624,531,139,139
38193,955,603,518,139,139
38194,896,529,518,139,139
38196,139,139,139,139,139
38204,1310,682,549,521,514
38206,581,529,518,139,139
38208,1309,682,549,521,514
38209,564,139,139,139,139
38211,701,555,526,514,514
38212,1286,682,549,521,514
38213,826,581,525,139,139
38214,139,139,139,139,139
38215,139,139,139,139,139
38219,1245,680,541,514,514
38221,709,539,520,170,170
38222,1216,671,546,522,514
38223,709,539,520,170,170
38225,731,551,139,139,139
38226,865,590,525,139,139
38227,1238,672,550,521,514
38228,1180,662,546,522,514
38231,1291,662,546,522,514
38235,1306,694,550,521,514
38237,1302,692,546,522,514
38238,991,593,126,126,126
38242,674,547,524,156,156
38243,880,592,126,126,126
38244,881,593,126,126,126
38245,1317,692,546,522,514
38247,798,546,523,156,156
38250,1358,699,556,522,514
38255,1374,701,554,520,514
38256,627,535,90,90,90
38257,974,600,523,156,156
38262,804,534,90,90,90
38263,666,527,156,156,156
38268,1385,707,546,522,514
38272,540,149,149,149,149
38274,521,88,88,88,88
38337,1308,646,540,516,515
38340,837,542,136,136,136
38346,1266,686,552,153,153
38348,642,542,136,136,136
38349,1233,646,540,516,515
38350,830,519,106,106,106
38351,830,519,106,106,106
38352,1237,675,551,153,153
38354,1356,675,551,153,153
38356,1158,647,540,516,515
38359,537,518,106,106,106
38361,118,118,118,118,118
38364,728,514,514,100,100
38365,357,357,357,357,357
38367,678,103,103,103,103
38368,613,531,514,100,100
38369,1075,621,530,516,515
38370,541,107,107,107,107
38371,805,532,519,134,134
38372,576,107,107,107,107
38373,1193,611,532,517,515
38375,585,97,97,97,97
38376,971,586,529,516,515
38378,845,586,529,516,515
38379,994,611,532,517,515
38382,878,587,530,516,515
38383,761,556,527,515,515
38384,761,556,527,515,515
38387,1241,676,536,518,515
38388,845,586,529,516,515
38389,902,153,153,153,153
38391,764,571,153,153,153
38392,902,153,153,153,153
38395,649,57,57,57,57
38397,153,153,153,153,153
38399,1021,614,534,515,515
38401,134,134,134,134,134
38402,646,543,153,153,153
38403,140,140,140,140,140
38404,736,557,527,515,515
38406,646,543,153,153,153
38408,733,563,516,155,155
38411,579,528,134,134,134
38413,904,555,526,514,514
38418,896,529,518,139,139
38419,918,528,134,134,134
38428,594,526,517,155,155
38430,581,529,518,139,139
38433,932,139,139,139,139
38435,119,119,119,119,119
38436,139,139,139,139,139
38439,763,553,525,139,139
38443,1255,678,549,521,514
38444,1345,680,541,514,514
38446,1214,670,545,521,514
38447,953,595,520,170,170
38449,819,553,525,139,139
38451,1217,672,550,521,514
38452,1291,662,546,522,514
38455,1306,694,550,521,514
38457,1314,662,546,522,514
38459,60,60,60,60,60
38461,1180,662,546,522,514
38462,20,20,20,20,20
38464,1341,701,554,520,514
38467,1341,701,554,520,514
38469,673,546,523,156,156
38470,950,593,126,126,126
38472,1180,662,546,522,514
38474,1375,705,546,522,514
38479,1355,688,553,522,514
38480,472,472,472,472,472
38484,1362,688,553,522,514
38485,885,550,523,156,156
38486,1373,706,557,522,514
38492,604,149,149,149,149
38496,1049,630,523,156,156
38500,1049,630,523,156,156
38569,136,136,136,136,136
38570,1225,663,153,153,153
38572,876,519,106,106,106
38575,1225,663,153,153,153
38576,397,397,397,397,397
38578,1188,663,153,153,153
38580,715,522,118,118,118
38583,844,583,97,97,97
38584,1129,648,539,516,515
38585,548,518,106,106,106
38587,1223,673,551,153,153
38588,1295,691,551,153,153
38589,549,522,118,118,118
38593,1057,631,538,516,515
38594,1174,659,532,517,515
38595,541,107,107,107,107
38596,1204,668,548,517,515
38597,97,97,97,97,97
38599,571,521,514,100,100
38600,1203,667,547,517,515
38602,994,611,532,517,515
38603,1274,683,547,517,515
38604,498,498,498,498,498
38605,990,606,530,516,515
38606,1222,658,532,517,515
38607,860,587,530,516,515
38608,878,587,530,516,515
38609,882,586,529,516,515
38610,878,587,530,516,515
38611,764,571,153,153,153
38612,1241,676,536,518,515
38614,572,134,134,134,134
38615,922,543,153,153,153
38619,111,111,111,111,111
38621,922,543,153,153,153
38623,1045,627,536,518,515
38625,702,556,527,515,515
38627,1110,627,536,518,515
38628,1102,637,537,519,515
38632,1113,624,531,139,139
38634,701,555,526,514,514
38635,656,536,517,155,155
38637,701,555,526,514,514
38638,547,72,72,72,72
38642,1047,619,139,139,139
38643,985,608,526,514,514
38650,1023,613,533,514,514
