LINKNO,subw_4,subw_5,subw_6,subw_7,subw_8
72194,914,397,293,262,259
72196,850,397,293,262,259
72197,408,289,262,260,259
72200,99,99,99,99,99
72201,1086,444,300,265,258
72204,1086,444,300,265,258
72207,315,271,261,260,259
72209,320,272,262,260,259
72210,387,281,263,261,259
72211,338,271,261,260,259
72212,315,271,261,260,259
72213,513,319,275,265,258
72216,376,263,260,259,259
72217,1040,435,275,265,258
72219,278,264,260,259,259
72220,379,263,260,259,259
72221,1014,430,275,265,258
72224,1014,430,275,265,258
72225,299,267,259,258,258
72226,269,260,68,68,68
72227,1026,425,296,265,258
72228,264,258,68,68,68
72229,303,268,260,259,259
72230,1021,432,299,265,258
72232,444,296,267,263,259
72235,932,410,290,265,258
72236,933,410,290,265,258
72238,625,313,273,258,258
72239,594,323,277,263,259
72241,985,422,296,265,258
72243,992,421,275,265,258
72244,974,421,275,265,258
72246,881,381,290,265,258
72247,488,310,264,258,258
72248,807,381,290,265,258
72251,869,319,275,265,258
72254,716,367,285,265,258
72256,509,314,273,258,258
72257,513,319,275,265,258
72259,646,341,281,265,258
72260,398,290,264,258,258
72264,544,329,281,265,258
72265,514,320,276,266,258
72266,602,338,281,265,258
72267,514,320,276,266,258
72268,795,319,275,265,258
72270,678,353,284,265,258
72273,513,319,275,265,258
72278,514,320,276,266,258
72279,729,364,284,265,258
72280,683,361,287,264,258
72281,774,379,284,265,258
72282,713,358,282,265,258
72285,799,383,287,264,258
72291,789,382,276,266,258
72294,791,373,286,264,258
72309,1002,420,276,266,258
72322,964,406,292,266,258
72395,461,304,269,260,259
72397,571,304,269,260,259
72398,1149,452,301,265,258
72399,1149,452,301,265,258
72400,611,345,279,261,259
72402,487,306,270,260,259
72403,735,345,279,261,259
72404,412,293,268,260,259
72406,928,408,289,262,259
72407,1113,448,275,265,258
72409,543,328,268,260,259
72412,474,305,269,260,259
72413,1112,319,275,265,258
72415,412,293,268,260,259
72416,539,326,279,261,259
72418,850,397,293,262,259
72420,1142,456,301,265,258
72421,1086,444,300,265,258
72423,281,261,258,68,68
72424,397,289,262,260,259
72426,374,281,263,261,259
72431,436,281,263,261,259
72432,275,261,258,68,68
72433,326,271,261,260,259
72434,748,375,289,262,259
72435,338,271,261,260,259
72436,446,285,265,259,259
72438,289,266,260,259,259
72440,545,325,266,262,259
72441,513,319,275,265,258
72442,261,68,68,68,68
72443,302,265,260,259,259
72444,277,263,260,259,259
72447,262,258,68,68,68
72449,284,264,260,259,259
72450,303,268,260,259,259
72451,1021,432,299,265,258
72452,307,262,259,258,258
72453,357,275,260,259,259
72454,1014,430,275,265,258
72455,479,291,266,262,259
72456,619,323,277,263,259
72458,271,258,68,68,68
72459,513,319,275,265,258
72460,513,319,275,265,258
72462,449,292,267,263,259
72463,597,335,278,263,259
72465,939,414,296,265,258
72466,324,259,68,68,68
72470,939,414,296,265,258
72471,341,259,68,68,68
72472,869,319,275,265,258
72473,452,283,264,258,258
72478,807,381,290,265,258
72480,655,341,281,265,258
72483,646,341,281,265,258
72484,502,262,259,258,258
72487,398,290,264,258,258
72489,513,319,275,265,258
72490,614,319,275,265,258
72491,649,353,284,265,258
72492,811,385,275,265,258
72494,781,380,284,265,258
72502,653,320,276,266,258
72504,1038,433,298,266,258
72509,634,349,283,266,258
72510,739,373,286,264,258
72514,738,372,286,264,258
72515,829,382,276,266,258
72517,634,349,283,266,258
72518,828,382,276,266,258
72526,870,372,286,264,258
72530,796,377,283,266,258
72533,1005,427,297,266,258
72611,608,304,269,260,259
72615,461,304,269,260,259
72619,461,304,269,260,259
72621,632,347,268,260,259
72622,1143,452,301,265,258
72623,1143,452,301,265,258
72626,492,305,269,260,259
72627,1120,452,301,265,258
72628,1133,453,302,265,258
72630,930,407,289,262,259
72631,1114,448,275,265,258
72634,426,288,262,260,259
72635,426,288,262,260,259
72636,643,345,279,261,259
72637,1107,448,275,265,258
72639,412,293,268,260,259
72640,589,326,279,261,259
72642,903,393,293,262,259
72644,1097,447,275,265,258
72647,320,272,262,260,259
72648,397,289,262,260,259
72650,516,281,263,261,259
72654,291,261,258,68,68
72655,436,281,263,261,259
72656,293,261,258,68,68
72657,405,291,266,262,259
72658,801,291,266,262,259
72659,391,281,263,261,259
72660,748,375,289,262,259
72662,472,285,265,259,259
72663,306,268,260,259,259
72664,684,350,266,262,259
72665,1071,430,275,265,258
72666,394,286,265,259,259
72667,1062,425,296,265,258
72668,422,285,265,259,259
