LINKNO,subw_4,subw_5,subw_6,subw_7,subw_8
149729,3,1,1,1,1
287031,16,8,2,1,1
108951,16,8,2,1,1
74230,16,8,2,1,1
157111,16,8,2,1,1
285014,17,9,3,1,1
30775,17,9,3,1,1
293306,1012,7,1,1,1
260602,1013,7,1,1,1
138970,15,7,1,1,1
91258,15,7,1,1,1
267549,13,4,1,1,1
44446,13,4,1,1,1
185341,13,4,1,1,1
182877,13,4,1,1,1
118363,13,4,1,1,1
39067,13,4,1,1,1
179295,13,4,1,1,1
10175,13,4,1,1,1
170334,13,4,1,1,1
36606,13,4,1,1,1
222525,13,4,1,1,1
65502,13,4,1,1,1
302497,648,5,1,1,1
182657,648,5,1,1,1
265312,649,5,1,1,1
16897,649,5,1,1,1
229471,8,2,1,1,1
119711,8,2,1,1,1
229247,8,2,1,1,1
113887,8,2,1,1,1
265753,9,2,1,1,1
58777,9,2,1,1,1
311235,1096,3,1,1,1
294659,1097,3,1,1,1
253892,941,3,1,1,1
74916,941,3,1,1,1
111652,941,3,1,1,1
59460,941,3,1,1,1
254788,941,3,1,1,1
52293,941,3,1,1,1
294430,839,3,1,1,1
157566,839,3,1,1,1
191393,839,3,1,1,1
99552,839,3,1,1,1
33920,839,3,1,1,1
138303,839,3,1,1,1
262401,3,1,1,1,1
68865,3,1,1,1,1
321,3,1,1,1,1
102240,3,1,1,1,1
182883,3,1,1,1,1
139201,3,1,1,1,1
286807,16,8,2,1,1
174583,16,8,2,1,1
87223,16,8,2,1,1
80727,16,8,2,1,1
284566,17,9,3,1,1
84982,17,9,3,1,1
293082,1012,7,1,1,1
189146,1012,7,1,1,1
260378,1013,7,1,1,1
4122,1013,7,1,1,1
266205,13,4,1,1,1
76701,13,4,1,1,1
160476,13,4,1,1,1
171005,13,4,1,1,1
179293,13,4,1,1,1
169437,13,4,1,1,1
173695,13,4,1,1,1
49375,13,4,1,1,1
156894,13,4,1,1,1
46910,13,4,1,1,1
208413,13,4,1,1,1
58782,13,4,1,1,1
302273,648,5,1,1,1
203265,648,5,1,1,1
82529,648,5,1,1,1
23841,648,5,1,1,1
296225,649,5,1,1,1
99776,649,5,1,1,1
195872,8,2,1,1,1
181536,8,2,1,1,1
225663,8,2,1,1,1
131583,8,2,1,1,1
264857,9,2,1,1,1
135385,9,2,1,1,1
310787,1096,3,1,1,1
97091,1096,3,1,1,1
293987,1097,3,1,1,1
198787,1097,3,1,1,1
239333,941,3,1,1,1
175493,941,3,1,1,1
241349,941,3,1,1,1
129796,941,3,1,1,1
294206,839,3,1,1,1
116350,839,3,1,1,1
63934,839,3,1,1,1
50046,839,3,1,1,1
190945,839,3,1,1,1
56993,839,3,1,1,1
261281,3,1,1,1,1
208417,3,1,1,1,1
120387,3,1,1,1,1
112099,3,1,1,1,1
299800,16,8,2,1,1
4344,16,8,2,1,1
174359,16,8,2,1,1
79159,16,8,2,1,1
284342,17,9,3,1,1
30326,17,9,3,1,1
285691,1012,7,1,1,1
183770,1012,7,1,1,1
168315,1012,7,1,1,1
132474,1012,7,1,1,1
260154,1013,7,1,1,1
60346,1013,7,1,1,1
262846,13,4,1,1,1
147485,13,4,1,1,1
135836,13,4,1,1,1
120380,13,4,1,1,1
68413,13,4,1,1,1
31229,13,4,1,1,1
132029,13,4,1,1,1
110973,13,4,1,1,1
141213,13,4,1,1,1
74461,13,4,1,1,1
171231,13,4,1,1,1
86111,13,4,1,1,1
144798,13,4,1,1,1
130238,13,4,1,1,1
203933,13,4,1,1,1
147261,13,4,1,1,1
314594,648,5,1,1,1
178401,648,5,1,1,1
8386,648,5,1,1,1
168993,648,5,1,1,1
295553,649,5,1,1,1
184000,649,5,1,1,1
16673,8,2,1,1,1
119040,8,2,1,1,1
85664,8,2,1,1,1
9728,8,2,1,1,1
213568,8,2,1,1,1
77600,8,2,1,1,1
263065,9,2,1,1,1
203705,9,2,1,1,1
304292,1096,3,1,1,1
220739,1096,3,1,1,1
291299,1097,3,1,1,1
85891,1097,3,1,1,1
194307,1097,3,1,1,1
19587,1097,3,1,1,1
234629,941,3,1,1,1
168325,941,3,1,1,1
174149,941,3,1,1,1
11077,941,3,1,1,1
237765,941,3,1,1,1
226788,941,3,1,1,1
293982,839,3,1,1,1
237534,839,3,1,1,1
188257,839,3,1,1,1
21601,839,3,1,1,1
259937,3,1,1,1,1
212450,3,1,1,1,1
202145,3,1,1,1,1
77602,3,1,1,1,1
299576,16,8,2,1,1
14648,16,8,2,1,1
174135,16,8,2,1,1
127319,16,8,2,1,1
283446,17,9,3,1,1
179509,17,9,3,1,1
284795,1012,7,1,1,1
156443,1012,7,1,1,1
165403,1012,7,1,1,1
73563,1012,7,1,1,1
163835,1012,7,1,1,1
150395,1012,7,1,1,1
259930,1013,7,1,1,1
220954,1013,7,1,1,1
262174,13,4,1,1,1
52286,13,4,1,1,1
146591,13,4,1,1,1
92159,13,4,1,1,1
191165,13,4,1,1,1
98429,13,4,1,1,1
314370,648,5,1,1,1
183330,648,5,1,1,1
171905,648,5,1,1,1
127105,648,5,1,1,1
147265,648,5,1,1,1
103137,648,5,1,1,1
294209,649,5,1,1,1
240449,649,5,1,1,1
61920,649,5,1,1,1
31456,649,5,1,1,1
38401,8,2,1,1,1
89024,8,2,1,1,1
273368,9,2,1,1,1
178616,9,2,1,1,1
199673,9,2,1,1,1
16218,9,2,1,1,1
303620,1096,3,1,1,1
13092,1096,3,1,1,1
204163,1096,3,1,1,1
150402,1096,3,1,1,1
